,cover,start,end ,back,dup
1,1,2,60,61,
2,62,63,148,149,
3,150,151,226,227,
4,228,229,294,295,
5,296,297,374,375,
6,376,377,439,440,
7,441,442,506,507,
8,508,509,568,569,
9,570,571,622,623,
10,624,625,692,693,
11,694,695,770,771,
12,772,773,857,858,
13,859,860,917,918,
14,919,920,978,979,
15,980,981,1045,1046,
16,1047,1048,1108,1109,
17,1110,1111,1171,1172,
18,1173,1174,1232,1233,
19,1234,1235,1285,1286,
20,1287,1288,1374,1375,
21,1376,1377,1459,1460,
22,1461,1462,1538,1539,
23,1540,1541,1614,1615,
24,1616,1617,1702,1703,
25,1704,1705,1774,1775,